date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:02:02	34642/34642	---M-Z	200	added ('OK')	text/html	date:Mon,%2003%20Apr%202023%2020:46:40%20GMT	https://byvolp.firebaseapp.com/games/dogeminer/index.html	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/byvolp.firebaseapp.com/games/dogeminer/index.html	(from )
23:02:03	1867/1867	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2020:46:40%20GMT	https://byvolp.firebaseapp.com/robots.txt		(from )
23:02:03	7627/7627	---M-Z	200	added ('OK')	application/javascript	etag:%2266388ce7-d1e%22	https://arc.io/widget.min.js	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/arc.io/widget.min.js	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:03	246858/246858	---M-Z	200	added ('OK')	image/x-icon	date:Mon,%2003%20Apr%202023%2020:46:40%20GMT	https://byvolp.firebaseapp.com/games/dogeminer/favicon.ico	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/byvolp.firebaseapp.com/games/dogeminer/favicon.ico	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:04	110382/110382	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Apr%202023%2020:46:40%20GMT	https://byvolp.firebaseapp.com/games/dogeminer/img/dogeminer_300x300.png	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/byvolp.firebaseapp.com/games/dogeminer/img/dogeminer_300x300.png	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:04	80653/80653	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202023%2020:46:40%20GMT	https://byvolp.firebaseapp.com/games/dogeminer/css/main-v1-0-2-bs.css	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/byvolp.firebaseapp.com/games/dogeminer/css/main-v1-0-2-bs.css	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:04	27209/27209	---M-Z	200	added ('OK')	text/css	date:Mon,%2003%20Apr%202023%2020:46:40%20GMT	https://byvolp.firebaseapp.com/games/dogeminer/css/sunny/jquery-ui-1.10.4.custom.min.css	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/byvolp.firebaseapp.com/games/dogeminer/css/sunny/jquery-ui-1.10.4.custom.min.css	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:05	0/0	---M--	301	error ('Moved%20Permanently')	text/plain	date:Sat,%2011%20May%202024%2003:01:58%20GMT	http://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/connect.facebook.net/en_US/sdk.6.delayed	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:05	3093/3093	---M-Z	200	added ('OK')	application/x-javascript	etag:%223ae2b26858d5b50d608983e0d681b6ed%22	https://connect.facebook.net/en_US/sdk.js	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/connect.facebook.net/en_US/sdk.js	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:05	184370/184370	---M--	200	added ('OK')	text/javascript	etag:7418582499208727995	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/pagead2.googlesyndication.com/pagead/js/f.txt	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:06	7321/7321	---M--	200	added ('OK')	image/png	date:Mon,%2003%20Apr%202023%2020:46:40%20GMT	https://byvolp.firebaseapp.com/games/dogeminer/img/dogecoin-d.png	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/byvolp.firebaseapp.com/games/dogeminer/img/dogecoin-d.png	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:06	82971/82971	---M-Z	200	added ('OK')	image/png	date:Mon,%2003%20Apr%202023%2020:46:40%20GMT	https://byvolp.firebaseapp.com/games/dogeminer/img/flyingrocket.png	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/byvolp.firebaseapp.com/games/dogeminer/img/flyingrocket.png	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:06	93065/93065	---M-Z	200	added ('OK')	application/javascript	etag:%22824beb891744db98ccbd3a456e59e0f7+gzip%22	https://platform.twitter.com/widgets.js	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/platform.twitter.com/widgets.js	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:06	184459/184459	---M--	200	added ('OK')	text/javascript	etag:360687730781174537	https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-5502194389395403	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/pagead2.googlesyndication.com/pagead/js/f6cf6.txt	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
23:02:09	4343/4343	---M-Z	404	error ('Not%20Found')	text/html	date:Mon,%2003%20Apr%202023%2020:46:40%20GMT	https://byvolp.firebaseapp.com/js/main.js	C:/My%20Web%20Sites/https___byvolp.firebaseapp.com_games_dogeminer_index.html/byvolp.firebaseapp.com/js/main.10.delayed	(from https://byvolp.firebaseapp.com/games/dogeminer/index.html)
